Timestamp,ECG,GSR,Gas,Pulse_IR,Temp_Max,Label
180372,1821,13236988,137,93073,37.18,-7.42,-4.71
180414,2720,655874,176,93308,35.00,-7.37,-4.61
180436,2100,13230652,155,93244,35.00,-7.40,-4.59
180458,1883,13231932,141,93177,35.00,-7.36,-4.62
180480,1711,13245890,135,93172,35.00,-7.35,-4.75
180502,1481,13254114,138,93296,35.00,-7.42,-4.69
180524,716,13258642,123,93404,35.00,-7.41,-4.77
180546,1337,13260626,139,93443,35.00,-7.52,-5.02
180568,763,13248290,135,93353,35.00,-7.38,-4.73
180590,2238,13236092,167,93201,35.00,-7.40,-4.73
180612,2803,13253346,171,93042,35.00,-7.41,-4.76
180654,2457,13261010,167,93247,35.00,-7.45,-4.75
180676,2183,13260626,152,93323,35.00,-7.37,-4.67
180698,2136,13262290,147,93460,35.00,-7.58,-4.83
180720,2120,13266354,140,93754,35.00,-7.55,-4.85
180742,1619,13267058,125,94112,35.00,-7.39,-4.74
180764,1693,13271026,135,94402,35.00,-7.43,-4.73
180786,1870,13275210,147,94597,35.00,-7.35,-4.68
180808,2076,13277898,154,94731,35.00,-7.29,-4.61
180830,2233,13279786,157,94914,35.00,-7.40,-4.68
180852,2549,13283946,167,95172,35.00,-7.38,-4.75
180874,2485,13290906,165,95528,35.00,-7.38,-4.71
180915,2403,13292890,159,96456,35.00,-7.41,-4.72
180937,2171,13295578,149,96442,35.00,-7.40,-4.68
180959,1773,13296186,137,96001,35.00,-7.38,-4.69
180981,1607,13305606,132,95336,35.00,-7.39,-4.73
181389,1262,13291418,138,94551,36.96,-7.41,-4.68
181417,2318,700330,167,93872,35.00,-7.38,-4.59
181439,1531,13279786,123,93913,35.00,-7.38,-4.61
181461,1468,13281962,135,93911,35.00,-7.38,-4.56
181483,1354,13282730,135,93855,35.00,-7.39,-4.58
181505,1544,13283946,141,93827,35.00,-7.39,-4.63
181527,1693,13284714,152,93897,35.00,-7.37,-4.60
181549,2109,13283434,159,94023,35.00,-7.43,-4.59
181571,2359,13283946,169,94118,35.00,-7.41,-4.62
181593,2451,13286122,160,94089,35.00,-7.39,-4.58
181615,2190,13285226,151,93747,35.00,-7.41,-4.57
181657,1833,13285226,139,92675,35.00,-7.41,-4.61
181679,1491,13284714,127,92642,35.00,-7.43,-4.57
181701,1351,13284714,135,92734,35.00,-7.42,-4.60
181723,1449,13286890,135,92849,35.00,-7.41,-4.60
181745,1563,13286122,150,92922,35.00,-7.41,-4.60
181767,1929,13287402,157,92965,35.00,-7.41,-4.55
181789,2229,13285610,166,92999,35.00,-7.38,-4.60
181811,2391,13284714,169,92948,35.00,-7.42,-4.57
181833,2419,13285226,165,92870,35.00,-7.39,-4.58
181855,2107,13283434,151,92715,35.00,-7.42,-4.59
181898,1739,13280554,141,92385,35.00,-7.43,-4.59
181920,1375,13275722,125,92363,35.00,-7.34,-4.63
181942,1339,13275722,135,92355,35.00,-7.41,-4.60
181964,1501,13277002,143,92311,35.00,-7.36,-4.60
181986,1891,13275722,156,92313,35.00,-7.39,-4.60
182407,2105,13275210,164,92338,36.76,-7.40,-4.61
182439,2311,658818,171,91018,35.00,-7.40,-4.62
182461,1273,13238268,125,91202,35.00,-7.39,-4.59
182483,1540,13240450,143,91461,35.00,-7.37,-4.56
182505,2260,13244610,169,91780,35.00,-7.37,-4.61
182527,2213,13267570,167,92344,35.00,-7.37,-4.60
182549,2361,13279178,171,92839,35.00,-7.39,-4.58
182571,2483,13283242,170,93091,35.00,-7.37,-4.59
182593,2222,13283242,152,93095,35.00,-7.39,-4.58
182615,1901,13283242,145,93045,35.00,-7.38,-4.59
182637,1481,13283946,125,93011,35.00,-7.42,-4.59
182679,1257,13281450,125,92942,35.00,-7.42,-4.58
182701,1241,13277386,133,92816,35.00,-7.38,-4.58
182723,1683,13250466,151,92704,35.00,-7.38,-4.56
182745,1928,13242434,159,92673,35.00,-7.38,-4.59
182767,2219,13240962,167,92670,35.00,-7.39,-4.57
182789,2457,13240450,171,92702,35.00,-7.41,-4.58
182811,2408,13241730,159,92717,35.00,-7.40,-4.59
182833,2167,13240066,149,92743,35.00,-7.44,-4.57
182855,1819,13239554,139,92782,35.00,-7.40,-4.62
182877,1495,13240450,133,92831,35.00,-7.41,-4.60
182899,1339,13240450,134,92861,35.00,-7.38,-4.59
182940,1821,13254114,148,92111,35.00,-7.41,-4.58
182962,1491,13275722,140,92093,35.00,-7.38,-4.58
182984,1787,13277002,153,92265,35.00,-7.40,-4.56
183425,2165,13281066,166,92624,36.66,-7.41,-4.59
183461,2311,708698,166,94450,35.00,-7.42,-4.60
183483,1781,13281066,153,94450,35.00,-7.41,-4.63
183505,2139,13279786,167,94381,35.00,-7.39,-4.60
183527,2427,13279274,169,94295,35.00,-7.38,-4.61
183549,2478,13280554,162,94277,35.00,-7.38,-4.58
183571,2239,13279274,156,94172,35.00,-7.42,-4.60
183593,1979,13278666,142,94071,35.00,-7.38,-4.58
183615,1545,13279786,133,94139,35.00,-7.35,-4.61
183637,1385,13279178,137,94150,35.00,-7.41,-4.58
183659,1435,13277386,133,94087,35.00,-7.45,-4.60
183681,1571,13278666,140,94010,35.00,-7.37,-4.58
183722,1895,13279178,155,92915,35.00,-7.42,-4.62
183744,2003,13276490,166,92887,35.00,-7.36,-4.64
183766,2360,13278666,169,92940,35.00,-7.38,-4.61
183788,2443,13279178,165,92994,35.00,-7.38,-4.64
183810,2365,13279178,157,93028,35.00,-7.40,-4.60
183832,2027,13277898,143,93023,35.00,-7.40,-4.61
183854,1641,13279178,135,93045,35.00,-7.41,-4.60
183876,785,13262290,119,93004,35.00,-7.38,-4.64
183898,1390,13243714,134,92896,35.00,-7.40,-4.62
183920,1563,13240066,151,92710,35.00,-7.43,-4.60
183963,1848,13239554,156,92738,35.00,-7.39,-4.62
183985,2303,13236476,170,92876,35.00,-7.42,-4.61
184697,2410,13239554,163,92900,36.76,-7.40,-4.58
184724,1561,663490,148,91789,35.00,-7.39,-4.59
184746,2409,13245122,165,91856,35.00,-7.40,-4.56
184768,2359,13246402,157,91878,35.00,-7.38,-4.57
184790,2053,13245890,146,91878,35.00,-7.41,-4.60
184812,1703,13244610,137,91891,35.00,-7.39,-4.57
184834,1407,13245890,136,91907,35.00,-7.41,-4.57
184856,1371,13246402,135,91856,35.00,-7.39,-4.60
184878,1557,13245122,143,91793,35.00,-7.38,-4.55
184900,1849,13245122,153,91660,35.00,-7.39,-4.59
184922,2141,13246402,157,91421,35.00,-7.39,-4.62
184944,2355,13245890,165,91242,35.00,-7.40,-4.57
184985,2426,13244610,165,91237,35.00,-7.43,-4.58
185715,2365,13244226,158,91055,36.65,-7.42,-4.59
185747,1544,659330,149,89790,35.00,-7.41,-4.62
185769,1902,13240066,138,89852,35.00,-7.41,-4.61
185791,1509,13240066,135,89885,35.00,-7.37,-4.64
185813,1403,13240066,135,89949,35.00,-7.42,-4.64
185835,1373,13240962,137,89995,35.00,-7.40,-4.60
185857,1607,13240962,151,89981,35.00,-7.41,-4.58
185879,1925,13239554,158,89937,35.00,-7.42,-4.60
185901,2159,13240962,167,89956,35.00,-7.40,-4.57
185923,2425,13242242,169,90043,35.00,-7.41,-4.65
185945,2428,13242242,163,90139,35.00,-7.37,-4.60
185987,2193,13243714,151,90481,35.00,-7.39,-4.62
186733,1810,13242434,137,90578,36.97,-7.42,-4.63
186769,1565,686834,143,90344,35.00,-7.39,-4.58
186791,1373,13269234,127,90412,35.00,-7.39,-4.66
186813,1388,13272330,133,90413,35.00,-7.37,-4.61
186835,1555,13273226,141,90398,35.00,-7.40,-4.60
186857,1939,13272842,155,90390,35.00,-7.38,-4.63
186879,2156,13273226,169,90298,35.00,-7.42,-4.58
186901,2441,13275018,167,89944,35.00,-7.39,-4.63
186923,2355,13273226,160,89361,35.00,-7.42,-4.62
186945,2229,13267058,152,88792,35.00,-7.42,-4.63
186967,1833,13266354,136,88408,35.00,-7.35,-4.58
186989,1541,13267058,125,88272,35.00,-7.38,-4.58
187030,1387,13267570,136,88698,35.00,-7.40,-4.60
187052,1387,13269234,134,88923,35.00,-7.39,-4.60
187074,1485,13274506,139,89130,35.00,-7.40,-4.64
187096,1802,13278666,149,89330,35.00,-7.41,-4.62
187118,2149,13279786,165,89507,35.00,-7.41,-4.65
187140,2300,13282730,165,89608,35.00,-7.38,-4.64
187162,2460,13283434,165,89637,35.00,-7.42,-4.62
187184,2265,13283242,155,89689,35.00,-7.36,-4.61
187206,1958,13285226,143,89727,35.00,-7.39,-4.63
187228,1640,13285610,139,89790,35.00,-7.39,-4.58
187270,1331,13283946,125,89545,35.00,-7.46,-4.63
187292,1261,13265586,131,89262,35.00,-7.41,-4.64
187314,1581,13262290,141,89058,35.00,-7.43,-4.61
187336,1903,13262802,152,89010,35.00,-7.41,-4.60
187358,2191,13265586,167,89071,35.00,-7.37,-4.62
187380,2401,13270514,165,89196,35.00,-7.43,-4.59
187402,2441,13271562,159,89327,35.00,-7.36,-4.65
187424,2298,13275018,153,89465,35.00,-7.37,-4.66
187446,1902,13279274,137,89624,35.00,-7.38,-4.59
187468,1545,13281962,125,89757,35.00,-7.41,-4.63
187490,1384,13281066,132,89855,35.00,-7.40,-4.60
187531,1397,13282730,139,90118,35.00,-7.37,-4.59
187553,1453,13281066,141,90197,35.00,-7.37,-4.61
187575,1769,13281450,152,90265,35.00,-7.40,-4.62
187597,2073,13281450,168,90316,35.00,-7.39,-4.59
187619,2353,13283242,167,90364,35.00,-7.40,-4.58
187641,2470,13287402,165,90479,35.00,-7.37,-4.64
187663,2284,13287962,157,90617,35.00,-7.39,-4.61
187685,1947,13290138,145,90728,35.00,-7.40,-4.62
187707,1606,13290906,135,90765,35.00,-7.40,-4.60
187729,1427,13289626,127,90774,35.00,-7.37,-4.60
187772,1401,13289626,135,90375,35.00,-7.42,-4.61
187794,1661,13287450,147,89877,35.00,-7.40,-4.59
187816,2007,13288730,159,89525,35.00,-7.40,-4.56
