Timestamp,ECG,GSR,Gas,Pulse_IR,Temp_Max,Label
18429,1195,28592,105,100666,36.51,-7.27,-4.94
18458,2086,28592,164,102006,35.00,-7.26,-4.92
18480,1739,28592,167,102069,35.00,-7.26,-4.93
18502,1637,28592,153,102142,35.00,-7.22,-4.95
18524,1669,28592,139,102217,35.00,-7.24,-4.91
18546,1748,28592,135,102279,35.00,-7.24,-4.93
18568,1709,28592,133,102342,35.00,-7.27,-4.92
18590,1519,28592,126,102382,35.00,-7.25,-4.91
18612,1284,28592,137,102320,35.00,-7.24,-4.94
18634,1269,28592,149,102070,35.00,-7.26,-4.95
18656,1285,28592,155,101644,35.00,-7.25,-4.94
18698,1373,28592,163,100762,35.00,-7.28,-4.92
18720,1511,28080,160,100653,35.00,-7.25,-4.96
18742,1755,28592,151,100567,35.00,-7.26,-4.96
18764,1741,28592,139,100503,35.00,-7.29,-4.96
18786,1755,28592,121,100483,35.00,-7.23,-4.97
18808,1576,28592,120,100540,35.00,-7.25,-4.90
18830,1443,28592,115,100670,35.00,-7.24,-4.94
18852,1241,28592,119,100806,35.00,-7.26,-4.96
18874,1467,28592,150,100903,35.00,-7.26,-4.96
18896,1828,28592,174,100969,35.00,-7.26,-4.99
18938,2067,28592,179,101151,35.00,-7.26,-4.93
18960,1763,28592,165,101217,35.00,-7.22,-4.95
18982,1751,28592,149,101293,35.00,-7.28,-4.95
19705,1691,28592,125,101365,35.41,-7.21,-4.93
19740,1287,28592,119,101226,35.00,-7.23,-4.96
19762,1061,28592,139,101279,35.00,-7.24,-4.95
19784,1048,28592,115,101331,35.00,-7.25,-4.91
19806,952,28592,99,101379,35.00,-7.23,-4.94
19828,925,28592,87,101419,35.00,-7.23,-4.91
19850,731,28592,85,101462,35.00,-7.27,-4.96
19872,639,28592,91,101509,35.00,-7.24,-4.91
19894,1199,28592,125,101555,35.00,-7.26,-4.94
19916,1763,28592,153,101619,35.00,-7.23,-4.92
19938,1706,28080,164,101681,35.00,-7.22,-4.93
19981,1427,28592,157,101866,35.00,-7.24,-4.97
20725,1803,28592,155,101911,35.77,-7.29,-4.91
20762,1751,27312,147,102126,35.00,-7.25,-4.91
20784,1523,27312,159,101758,35.00,-7.23,-4.98
20806,1629,27312,149,101354,35.00,-7.27,-4.94
20828,1733,28080,138,101057,35.00,-7.22,-4.93
20850,1721,27312,127,100879,35.00,-7.24,-4.93
20872,1711,27312,123,100781,35.00,-7.28,-4.95
20894,1647,28080,124,100672,35.00,-7.26,-4.94
20916,1327,27312,124,100616,35.00,-7.24,-4.95
20938,1261,27312,141,100606,35.00,-7.25,-4.93
20960,1574,27312,165,100682,35.00,-7.24,-4.96
20982,1645,27312,165,100801,35.00,-7.24,-4.95
21023,1765,28080,159,101177,35.00,-7.29,-4.93
21045,1811,28080,159,101239,35.00,-7.24,-4.94
21067,1949,27312,150,101297,35.00,-7.28,-4.96
21089,2151,28080,148,101365,35.00,-7.25,-4.95
21111,2169,28080,136,101432,35.00,-7.25,-4.93
21133,2029,28080,133,101507,35.00,-7.26,-4.96
21155,1956,28080,141,101598,35.00,-7.28,-4.95
21177,1949,28080,153,101678,35.00,-7.28,-4.95
21199,1935,28080,168,101767,35.00,-7.22,-4.94
21221,1944,27312,171,101844,35.00,-7.23,-4.98
21264,1951,28080,183,102063,35.00,-7.22,-4.98
21286,2143,28080,172,102126,35.00,-7.26,-4.96
21308,2265,28080,163,102189,35.00,-7.23,-4.92
21330,2235,28080,150,102240,35.00,-7.23,-4.93
21352,2165,28080,151,102300,35.00,-7.24,-4.91
21374,1997,28080,141,102367,35.00,-7.24,-4.93
21396,2008,28080,151,102451,35.00,-7.26,-4.94
21418,1956,28080,157,102510,35.00,-7.25,-4.93
21440,1845,28080,179,102577,35.00,-7.26,-4.96
21462,1699,28080,179,102614,35.00,-7.26,-4.91
21504,1780,28080,179,102023,35.00,-7.24,-4.93
21526,1891,28080,171,101570,35.00,-7.26,-4.96
21548,1853,28080,163,101242,35.00,-7.25,-4.93
21570,1864,28080,144,101042,35.00,-7.23,-4.96
21592,1875,28080,142,100895,35.00,-7.22,-4.96
21614,1735,28080,123,100785,35.00,-7.25,-4.93
21636,1576,28080,127,100723,35.00,-7.25,-4.99
21658,1365,28080,137,100697,35.00,-7.27,-4.88
21680,1131,28080,137,100726,35.00,-7.22,-4.93
21702,814,27312,133,100827,35.00,-7.24,-4.99
21724,752,28080,137,100964,35.00,-7.21,-4.95
21765,1193,28080,159,101177,35.00,-7.24,-4.88
21787,2601,28080,214,101240,35.00,-7.23,-4.95
21809,2393,28080,160,101311,35.00,-7.24,-4.92
21831,1962,28080,135,101363,35.00,-7.23,-4.93
21853,1819,28080,126,101433,35.00,-7.21,-4.94
21875,1489,28080,103,101513,35.00,-7.24,-4.94
21897,1145,28080,117,101587,35.00,-7.23,-4.93
21919,1203,28080,135,101657,35.00,-7.25,-4.94
21941,1432,28080,169,101722,35.00,-7.21,-4.94
21963,2021,28080,207,101796,35.00,-7.28,-4.96
22510,1983,28080,174,102014,35.40,-7.24,-4.94
22547,1967,28080,149,101296,35.00,-7.25,-4.96
22569,1837,27312,166,101372,35.00,-7.24,-4.92
22591,1784,28080,151,101447,35.00,-7.20,-4.95
22613,1533,28080,125,101521,35.00,-7.22,-4.95
22635,1357,28080,121,101602,35.00,-7.25,-4.91
22657,1623,28080,135,101682,35.00,-7.21,-4.91
22679,1706,27312,160,101743,35.00,-7.27,-4.96
22701,1947,27312,187,101816,35.00,-7.24,-4.94
22723,2324,27312,197,101890,35.00,-7.23,-4.96
22745,987,27312,164,101948,35.00,-7.24,-4.92
22787,1265,27312,151,102131,35.00,-7.23,-4.94
22809,1557,27312,137,102195,35.00,-7.23,-4.95
22831,871,27312,104,102262,35.00,-7.26,-4.98
22853,554,27312,91,102333,35.00,-7.24,-4.96
22875,597,27312,93,102388,35.00,-7.26,-4.93
22897,1254,27312,117,102429,35.00,-7.27,-4.90
22919,1993,27312,157,102440,35.00,-7.22,-4.94
22941,2163,27312,181,102309,35.00,-7.27,-4.96
22963,2382,27312,205,101967,35.00,-7.25,-4.95
22985,2229,27312,203,101543,35.00,-7.23,-4.95
23530,2173,27312,187,101192,35.76,-7.23,-4.93
23569,1845,26800,157,102195,35.00,-7.24,-4.94
23591,1787,26800,164,102270,35.00,-7.25,-4.98
23613,2056,26800,159,102334,35.00,-7.21,-4.90
23635,2297,26800,164,102367,35.00,-7.21,-4.96
23657,2150,26800,149,102263,35.00,-7.24,-4.95
23679,1786,26800,140,101919,35.00,-7.26,-4.93
23701,1433,26800,139,101488,35.00,-7.24,-4.96
23723,1229,26416,136,101106,35.00,-7.25,-4.95
23745,1197,26416,159,100862,35.00,-7.24,-4.93
23767,1463,26416,172,100723,35.00,-7.26,-4.94
23789,1767,26416,181,100648,35.00,-7.27,-4.96
23830,1675,26416,152,100550,35.00,-7.24,-4.92
23852,1277,26416,136,100659,35.00,-7.26,-4.96
23874,1045,26416,116,100814,35.00,-7.27,-4.94
23896,1630,26416,125,100922,35.00,-7.28,-4.94
23918,1843,26416,133,101002,35.00,-7.24,-4.93
23940,1611,26416,135,101046,35.00,-7.25,-4.91
23962,1699,26416,137,101096,35.00,-7.25,-4.93
23984,1581,26416,147,101172,35.00,-7.26,-4.94
24551,1589,26416,157,101241,35.30,-7.24,-4.95
24592,1904,25136,157,100863,35.00,-7.26,-4.94
24614,1461,25136,127,100995,35.00,-7.24,-4.91
24636,1443,25136,111,101086,35.00,-7.21,-4.91
24658,1641,25136,123,101130,35.00,-7.20,-4.90
24680,2027,25136,151,101207,35.00,-7.26,-4.98
24702,2318,25136,179,101271,35.00,-7.20,-4.98
24724,1959,25136,150,101347,35.00,-7.25,-4.94
24746,1645,25136,159,101427,35.00,-7.22,-4.93
24768,1449,25136,153,101494,35.00,-7.29,-4.96
24790,1261,25136,139,101569,35.00,-7.21,-4.93
24832,1139,25904,126,101824,35.00,-7.27,-4.93
24854,1593,25136,151,101880,35.00,-7.25,-4.92
24876,2199,25136,180,101948,35.00,-7.23,-4.98
24898,2671,25136,181,102006,35.00,-7.22,-4.95
24920,2075,25136,134,102073,35.00,-7.26,-4.92
24942,1837,25136,127,102119,35.00,-7.24,-4.93
24964,1639,25136,133,102181,35.00,-7.26,-4.95
24986,1043,25136,120,102249,35.00,-7.23,-4.92
25571,973,25136,135,102313,35.00,-7.24,-4.93
25602,1748,25136,188,101852,35.00,-7.25,-4.93
25624,2527,25136,171,101897,35.00,-7.22,-4.91
25646,1939,25904,153,101963,35.00,-7.27,-4.94
25668,1629,25136,157,102013,35.00,-7.26,-4.96
25690,1499,25904,157,102064,35.00,-7.24,-4.97
25712,1262,25136,141,102127,35.00,-7.24,-4.96
25754,1317,25904,137,102338,35.00,-7.27,-4.95
25776,2221,25904,189,102394,35.00,-7.25,-4.96
25798,2806,25904,197,102416,35.00,-7.25,-4.93
25820,2259,25904,151,102317,35.00,-7.28,-4.95
25842,1967,25136,142,101980,35.00,-7.25,-4.93
25864,1743,25904,132,101549,35.00,-7.25,-4.94
25886,1417,25904,136,101163,35.00,-7.26,-4.96
25908,1623,25136,163,100909,35.00,-7.27,-4.95
25930,1903,25136,197,100758,35.00,-7.23,-4.98
25952,2006,25136,179,100654,35.00,-7.24,-4.97
25974,1960,25136,172,100548,35.00,-7.25,-4.98
26592,1900,25136,157,100588,35.50,-7.24,-4.92
26623,2005,25136,187,100673,35.00,-7.26,-4.94
26645,2002,25136,138,100526,35.00,-7.29,-4.93
26667,1947,25136,157,100425,35.00,-7.25,-4.95
26689,1693,25136,163,100340,35.00,-7.22,-4.95
26711,1592,25136,173,100314,35.00,-7.24,-4.94
26733,1765,25136,181,100328,35.00,-7.25,-4.93
26755,1817,25136,173,100430,35.00,-7.25,-4.92
26797,1887,25136,163,100745,35.00,-7.24,-4.93
26819,1951,25136,166,100792,35.00,-7.23,-4.92
26841,1709,25136,139,100858,35.00,-7.24,-4.94
26863,1780,25136,140,100914,35.00,-7.28,-4.94
26885,1619,25136,127,100979,35.00,-7.27,-4.95
26907,1453,25136,137,101045,35.00,-7.24,-4.94
26929,1187,25136,137,101119,35.00,-7.28,-4.97
26951,1008,25136,151,101201,35.00,-7.28,-4.97
26973,1062,25136,157,101290,35.00,-7.27,-4.94
26995,1551,25136,183,101372,35.00,-7.25,-4.90
27038,1791,25136,163,101572,35.00,-7.21,-4.95
27060,1503,25136,133,101639,35.00,-7.20,-4.97
27082,1607,25136,121,101689,35.00,-7.25,-4.94
27104,1463,25136,102,101735,35.00,-7.26,-4.95
27126,1270,25904,102,101796,35.00,-7.27,-4.93
27148,1193,25904,126,101844,35.00,-7.22,-4.95
27170,1623,25136,168,101912,35.00,-7.22,-4.99
27192,2187,25136,191,101986,35.00,-7.23,-4.94
27214,2019,25136,173,102036,35.00,-7.23,-4.96
27236,1877,25136,167,102072,35.00,-7.27,-4.92
27278,1877,25136,151,101533,35.00,-7.26,-4.98
27300,1843,25136,135,101091,35.00,-7.27,-4.95
27322,1891,25136,123,100762,35.00,-7.31,-4.96
27344,2111,25136,143,100554,35.00,-7.24,-4.98
27366,2519,25136,171,100424,35.00,-7.23,-4.90
27388,2439,25136,163,100302,35.00,-7.25,-4.94
27410,2202,25136,171,100230,35.00,-7.26,-4.94
27432,2043,25136,176,100200,35.00,-7.25,-4.95
27454,1839,25136,174,100209,35.00,-7.29,-4.94
27476,1637,25136,157,100307,35.00,-7.26,-4.94
27519,1655,25136,154,100628,35.00,-7.28,-4.94
27541,2236,25136,174,100687,35.00,-7.27,-4.91
27563,2490,25136,179,100743,35.00,-7.26,-4.94
27585,1837,25136,127,100785,35.00,-7.24,-4.94
27607,1515,25136,123,100863,35.00,-7.25,-4.97
27629,1445,25136,133,100937,35.00,-7.24,-4.94
27651,1129,25904,122,101004,35.00,-7.22,-4.95
27673,869,25136,132,101081,35.00,-7.24,-4.92
27695,825,25136,141,101155,35.00,-7.24,-4.95
27717,1173,25136,154,101226,35.00,-7.26,-4.98
27759,1901,25136,167,101431,35.00,-7.25,-4.91
27781,1575,25904,117,101498,35.00,-7.27,-4.93
27803,1559,25136,107,101555,35.00,-7.23,-4.96
27825,1545,25904,101,101603,35.00,-7.22,-4.94
27847,1323,25136,91,101658,35.00,-7.26,-4.95
27869,1250,25904,105,101717,35.00,-7.19,-4.93
27891,1397,25904,134,101790,35.00,-7.25,-4.93
27913,1945,25136,179,101867,35.00,-7.26,-4.94
27935,2265,25136,173,101936,35.00,-7.23,-4.92
27957,1957,25136,155,101968,35.00,-7.27,-4.94
27979,1903,25904,147,101928,35.00,-7.24,-4.91
28020,1811,25904,122,100824,35.00,-7.23,-4.96
28042,1450,25136,106,100526,35.00,-7.24,-4.95
28064,1543,25136,111,100327,35.00,-7.22,-4.91
28086,1989,24624,139,100167,35.00,-7.27,-4.93
28108,2441,24624,167,100042,35.00,-7.27,-4.93
28130,2189,24624,150,99956,35.00,-7.26,-4.98
28152,1938,24624,151,99932,35.00,-7.28,-4.97
28174,1821,24624,159,99980,35.00,-7.26,-4.93
28196,1739,24624,151,100097,35.00,-7.24,-4.90
28218,1503,24624,147,100259,35.00,-7.25,-4.94
28261,1641,24624,135,100548,35.00,-7.25,-4.98
28283,2538,24624,166,100627,35.00,-7.27,-4.95
28305,2585,25136,149,100705,35.00,-7.27,-4.94
28327,2197,25136,134,100773,35.00,-7.28,-4.93
28349,2053,25136,141,100850,35.00,-7.24,-4.94
28371,1853,25136,134,100933,35.00,-7.27,-4.94
28393,1516,25136,143,101015,35.00,-7.23,-4.96
28415,1573,25136,155,101109,35.00,-7.24,-4.95
28437,1925,25136,179,101175,35.00,-7.26,-4.92
28459,2479,25136,203,101241,35.00,-7.25,-4.94
28501,2745,25136,187,101459,35.00,-7.24,-4.92
28523,2283,25136,154,101507,35.00,-7.25,-4.94
28545,2220,25136,141,101570,35.00,-7.26,-4.93
28567,1855,25136,122,101624,35.00,-7.22,-4.92
28589,1877,25136,135,101701,35.00,-7.24,-4.96
28611,1835,25136,157,101753,35.00,-7.24,-4.91
28633,2106,25136,188,101836,35.00,-7.23,-4.95
