Timestamp,ECG,GSR,Gas,Pulse_IR,Temp_Max,Label
940732,2979,0,205,134655,33.65,-6.18,-6.54
940761,1290,0,159,134561,35.00,-6.22,-6.57
940783,3341,0,205,134689,35.00,-6.22,-6.52
940805,3141,0,211,134773,35.00,-6.22,-6.58
940827,2249,0,183,134819,35.00,-6.27,-6.56
940849,1511,0,163,134895,35.00,-6.27,-6.56
940871,815,0,155,135028,35.00,-6.47,-6.56
940893,781,0,153,135130,35.00,-6.23,-6.55
940915,1259,0,165,135254,35.00,-6.22,-6.56
940937,1925,0,171,135296,35.00,-6.23,-6.58
940959,2577,0,185,135401,35.00,-6.25,-6.55
940981,3195,0,202,135557,35.00,-6.23,-6.55
941022,3143,0,205,135819,35.00,-6.25,-6.54
941044,3035,0,213,135895,35.00,-6.24,-6.56
941066,2423,0,190,135956,35.00,-6.22,-6.54
941088,1833,0,173,136090,35.00,-6.25,-6.59
941110,1140,0,155,136200,35.00,-6.22,-6.56
941132,908,0,152,136034,35.00,-6.21,-6.56
941154,1096,0,151,135942,35.00,-6.23,-6.54
941176,1568,0,166,135896,35.00,-6.24,-6.57
941198,2171,0,175,135827,35.00,-6.25,-6.56
941220,2741,0,187,135831,35.00,-6.22,-6.53
941263,3124,0,205,135778,35.00,-6.20,-6.58
941285,2723,0,201,135765,35.00,-6.24,-6.57
941307,1965,0,183,135722,35.00,-6.21,-6.56
941329,1321,0,165,135733,35.00,-6.19,-6.56
941351,895,0,147,135489,35.00,-6.25,-6.57
941373,751,0,149,135503,35.00,-6.20,-6.56
941395,1087,0,151,135632,35.00,-6.28,-6.57
941417,1919,0,173,135834,35.00,-6.25,-6.57
941439,2509,0,187,135684,35.00,-6.26,-6.53
941461,2899,0,202,135495,35.00,-6.24,-6.58
941503,2807,0,201,135348,35.00,-6.25,-6.58
941525,2619,0,201,135396,35.00,-6.22,-6.61
941547,1779,0,173,135348,35.00,-6.22,-6.59
941569,1015,0,158,135401,35.00,-6.23,-6.53
941591,717,0,159,135455,35.00,-6.24,-6.56
941613,809,0,155,135445,35.00,-6.28,-6.53
941635,1192,0,155,135359,35.00,-6.21,-6.57
941657,1881,0,182,135307,35.00,-6.21,-6.54
941679,2547,0,189,135302,35.00,-6.26,-6.56
941701,2999,0,197,135304,35.00,-6.22,-6.58
941744,2937,0,211,135307,35.00,-6.22,-6.57
941766,2055,0,186,135364,35.00,-6.23,-6.59
941788,1353,0,171,135344,35.00,-6.25,-6.58
941810,751,0,157,135239,35.00,-6.24,-6.55
941832,651,0,159,135335,35.00,-6.23,-6.51
941854,1053,0,159,135252,35.00,-6.21,-6.52
941876,1677,0,171,135152,35.00,-6.22,-6.57
941898,2151,0,174,134981,35.00,-6.25,-6.56
941920,2708,0,197,134949,35.00,-6.22,-6.58
941942,2969,0,205,134905,35.00,-6.22,-6.58
941984,2429,0,204,134861,35.00,-6.23,-6.63
942510,1779,0,179,134974,33.87,-6.26,-6.56
942545,761,0,133,134811,35.00,-6.24,-6.57
942567,1609,0,150,134892,35.00,-6.27,-6.54
942589,613,0,135,135178,35.00,-6.24,-6.58
942611,749,0,136,135082,35.00,-6.23,-6.57
942633,1234,0,153,135127,35.00,-6.26,-6.56
942655,2287,0,189,135048,35.00,-6.21,-6.57
942677,2978,0,203,134935,35.00,-6.27,-6.54
942699,3968,0,227,134825,35.00,-6.20,-6.54
942721,4095,0,227,134849,35.00,-6.23,-6.57
942743,4095,0,221,134844,35.00,-6.26,-6.59
942765,2863,0,187,134961,35.00,-6.28,-6.62
942806,1399,0,148,135111,35.00,-6.17,-6.54
942828,613,0,138,135221,35.00,-6.26,-6.59
942850,152,0,136,135238,35.00,-6.27,-6.57
942872,183,0,136,135173,35.00,-6.24,-6.50
942894,749,0,175,135200,35.00,-6.24,-6.58
942916,1509,0,183,135155,35.00,-6.21,-6.56
942938,2677,0,212,135175,35.00,-6.19,-6.55
942960,3835,0,235,135208,35.00,-6.24,-6.59
