Sequence,Type,Val1,Val2,Val3,Val4,Val5,Val6,Val7,Val8,Val9
0,SPEC,4,5,5,0,9,208,1,4,
1,SPEC,4,5,5,0,9,210,1,5,
2,PULSE,125089,21434,14899,,,,,,
3,SPEC,4,6,6,1,10,233,1,5,
4,PULSE,125290,23248,27813,,,,,,
5,PULSE,125330,23255,27785,,,,,,
6,PULSE,125370,23344,27960,,,,,,
7,PULSE,125410,23412,28127,,,,,,
8,PULSE,125450,23515,28265,,,,,,
9,PULSE,125490,23617,28385,,,,,,
10,PULSE,125530,23713,28500,,,,,,
11,PULSE,125570,23802,28621,,,,,,
12,PULSE,125610,23872,28731,,,,,,
13,SPEC,4,6,6,1,10,246,1,5,
14,PULSE,125811,24002,29083,,,,,,
15,PULSE,125851,24013,29129,,,,,,
16,PULSE,125891,23964,29051,,,,,,
17,PULSE,125931,23995,29015,,,,,,
18,PULSE,125971,24022,29067,,,,,,
19,PULSE,126011,24041,29127,,,,,,
20,PULSE,126051,24041,29153,,,,,,
21,PULSE,126091,24033,29198,,,,,,
22,PULSE,126131,24033,29207,,,,,,
23,SPEC,4,6,6,1,10,246,1,5,
24,PULSE,126332,24066,29306,,,,,,
25,PULSE,126372,24063,29308,,,,,,
26,PULSE,126412,24070,29314,,,,,,
27,PULSE,126452,24057,29306,,,,,,
28,PULSE,126492,24029,29307,,,,,,
29,PULSE,126532,23989,29199,,,,,,
30,PULSE,126572,24006,29175,,,,,,
31,PULSE,126612,24005,29219,,,,,,
32,PULSE,126652,24009,29244,,,,,,
33,SPEC,4,6,6,1,10,247,1,5,
34,PULSE,126853,24021,29295,,,,,,
35,PULSE,126893,24021,29326,,,,,,
36,PULSE,126933,24038,29344,,,,,,
37,PULSE,126973,24038,29364,,,,,,
38,PULSE,127013,24031,29355,,,,,,
39,PULSE,127053,24044,29382,,,,,,
40,PULSE,127093,24028,29383,,,,,,
41,PULSE,127133,24027,29384,,,,,,
42,PULSE,127173,23997,29290,,,,,,
43,SPEC,4,6,6,1,10,247,1,5,
44,PULSE,127374,24013,29330,,,,,,
45,PULSE,127414,24002,29336,,,,,,
46,PULSE,127454,24009,29353,,,,,,
47,PULSE,127494,24024,29352,,,,,,
48,PULSE,127534,24018,29373,,,,,,
49,PULSE,127576,24028,29375,,,,,,
50,PULSE,127616,24015,29407,,,,,,
51,PULSE,127656,24036,29407,,,,,,
52,PULSE,127696,24043,29416,,,,,,
53,SPEC,4,6,6,1,10,248,1,5,
54,PULSE,127895,24044,29363,,,,,,
55,PULSE,127935,24052,29384,,,,,,
56,PULSE,127977,24027,29389,,,,,,
57,PULSE,128017,24042,29408,,,,,,
58,PULSE,128057,24039,29397,,,,,,
59,PULSE,128097,24044,29396,,,,,,
60,PULSE,128137,24047,29400,,,,,,
61,PULSE,128177,24049,29404,,,,,,
62,PULSE,128217,24054,29432,,,,,,
63,SPEC,4,6,6,1,10,245,1,5,
64,PULSE,128418,24052,29452,,,,,,
65,PULSE,128458,24048,29419,,,,,,
66,PULSE,128498,24032,29368,,,,,,
67,PULSE,128538,24043,29380,,,,,,
68,PULSE,128578,24026,29396,,,,,,
69,PULSE,128618,24044,29421,,,,,,
70,PULSE,128658,24052,29419,,,,,,
71,PULSE,128698,24058,29431,,,,,,
72,PULSE,128738,24075,29428,,,,,,
73,SPEC,4,6,6,1,10,245,1,5,
74,PULSE,128939,24072,29483,,,,,,
75,PULSE,128979,24058,29482,,,,,,
76,PULSE,129019,24077,29490,,,,,,
77,PULSE,129059,24084,29482,,,,,,
78,PULSE,129099,24073,29445,,,,,,
79,PULSE,129139,24087,29432,,,,,,
80,PULSE,129179,24098,29477,,,,,,
81,PULSE,129219,24089,29500,,,,,,
82,PULSE,129259,24093,29506,,,,,,
83,SPEC,4,6,6,1,10,244,1,5,
84,PULSE,129460,24107,29532,,,,,,
85,PULSE,129500,24109,29535,,,,,,
86,PULSE,129540,24102,29531,,,,,,
87,PULSE,129580,24095,29550,,,,,,
88,PULSE,129620,24090,29551,,,,,,
89,PULSE,129660,24075,29521,,,,,,
90,PULSE,129700,24077,29477,,,,,,
91,PULSE,129740,24072,29469,,,,,,
92,PULSE,129780,24082,29495,,,,,,
93,SPEC,4,6,6,1,10,244,1,5,
94,PULSE,129981,24074,29506,,,,,,
95,PULSE,130021,24064,29499,,,,,,
96,PULSE,130061,24063,29505,,,,,,
97,PULSE,130101,24054,29491,,,,,,
98,PULSE,130141,24046,29488,,,,,,
99,PULSE,130181,24046,29497,,,,,,
100,PULSE,130221,24054,29516,,,,,,
101,PULSE,130261,24053,29479,,,,,,
102,PULSE,130303,24050,29458,,,,,,
103,SPEC,4,6,6,1,10,235,1,5,
104,PULSE,130502,24041,29455,,,,,,
105,PULSE,130542,24049,29483,,,,,,
106,PULSE,130582,24053,29507,,,,,,
107,PULSE,130622,24058,29516,,,,,,
108,PULSE,130662,24056,29509,,,,,,
109,PULSE,130704,24035,29498,,,,,,
110,PULSE,130744,24034,29518,,,,,,
111,PULSE,130784,24052,29514,,,,,,
112,PULSE,130824,24024,29485,,,,,,
113,SPEC,4,6,6,1,10,233,1,5,
114,PULSE,131023,24034,29490,,,,,,
115,PULSE,131063,24039,29477,,,,,,
116,PULSE,131105,24027,29481,,,,,,
117,PULSE,131145,24022,29501,,,,,,
118,PULSE,131185,24044,29497,,,,,,
119,PULSE,131225,24043,29500,,,,,,
120,PULSE,131265,24045,29517,,,,,,
121,PULSE,131305,24042,29509,,,,,,
122,PULSE,131345,24043,29527,,,,,,
123,SPEC,4,6,6,1,10,235,1,5,
124,PULSE,131546,23972,29391,,,,,,
125,PULSE,131586,23978,29387,,,,,,
126,PULSE,131626,24001,29414,,,,,,
127,PULSE,131666,24014,29438,,,,,,
128,PULSE,131706,24005,29440,,,,,,
129,PULSE,131746,24025,29455,,,,,,
130,PULSE,131786,24045,29464,,,,,,
131,PULSE,131826,24061,29482,,,,,,
132,PULSE,131866,24065,29505,,,,,,
133,SPEC,4,6,6,1,10,245,1,5,
134,PULSE,132067,24030,29410,,,,,,
135,PULSE,132107,24040,29452,,,,,,
136,PULSE,132147,24056,29481,,,,,,
137,PULSE,132187,24058,29481,,,,,,
138,PULSE,132227,24056,29488,,,,,,
139,PULSE,132267,24028,29483,,,,,,
140,PULSE,132307,24013,29486,,,,,,
141,PULSE,132347,24013,29491,,,,,,
142,PULSE,132387,24039,29503,,,,,,
143,SPEC,4,6,6,1,11,259,1,5,
144,PULSE,132588,24103,29625,,,,,,
145,PULSE,132628,24068,29518,,,,,,
146,PULSE,132668,24051,29491,,,,,,
147,PULSE,132708,24065,29537,,,,,,
148,PULSE,132748,24078,29573,,,,,,
149,PULSE,132788,24084,29595,,,,,,
150,PULSE,132828,24060,29586,,,,,,
151,PULSE,132868,24068,29582,,,,,,
152,PULSE,132908,24062,29588,,,,,,
153,SPEC,5,7,7,1,11,272,1,6,
154,PULSE,133109,24088,29636,,,,,,
155,PULSE,133149,24083,29636,,,,,,
156,PULSE,133189,24069,29613,,,,,,
157,PULSE,133229,24040,29518,,,,,,
158,PULSE,133269,24052,29505,,,,,,
159,PULSE,133309,24051,29531,,,,,,
160,PULSE,133349,24054,29553,,,,,,
161,PULSE,133391,24047,29554,,,,,,
162,PULSE,133431,24017,29568,,,,,,
163,SPEC,5,7,7,1,11,274,1,6,
164,PULSE,133630,24049,29587,,,,,,
165,PULSE,133670,24049,29596,,,,,,
166,PULSE,133710,24045,29598,,,,,,
167,PULSE,133750,24028,29590,,,,,,
168,PULSE,133792,23977,29508,,,,,,
169,PULSE,133832,23991,29453,,,,,,
170,PULSE,133872,23999,29465,,,,,,
171,PULSE,133912,24017,29509,,,,,,
172,PULSE,133952,24024,29528,,,,,,
173,SPEC,5,7,7,1,11,276,1,6,
174,PULSE,134153,24013,29535,,,,,,
175,PULSE,134193,23997,29556,,,,,,
176,PULSE,134233,24013,29561,,,,,,
177,PULSE,134273,24009,29562,,,,,,
178,PULSE,134313,24028,29587,,,,,,
179,PULSE,134353,23999,29562,,,,,,
180,PULSE,134393,23986,29461,,,,,,
181,PULSE,134433,24004,29437,,,,,,
182,PULSE,134473,24029,29481,,,,,,
183,SPEC,5,7,7,1,11,275,1,6,
184,PULSE,134674,24002,29523,,,,,,
185,PULSE,134714,24008,29537,,,,,,
186,PULSE,134754,23990,29540,,,,,,
187,PULSE,134794,24004,29550,,,,,,
188,PULSE,134834,24019,29552,,,,,,
189,PULSE,134874,24026,29581,,,,,,
190,PULSE,134914,24037,29590,,,,,,
191,PULSE,134954,24011,29590,,,,,,
192,PULSE,134994,23985,29477,,,,,,
193,SPEC,5,7,7,1,11,278,1,6,
194,PULSE,135195,24023,29549,,,,,,
195,PULSE,135235,24041,29545,,,,,,
196,PULSE,135275,24050,29561,,,,,,
197,PULSE,135315,24037,29572,,,,,,
198,PULSE,135355,24039,29602,,,,,,
199,PULSE,135395,24032,29604,,,,,,
200,PULSE,135435,24037,29617,,,,,,
201,PULSE,135475,24041,29623,,,,,,
202,PULSE,135515,24043,29651,,,,,,
203,SPEC,5,7,7,1,11,279,1,6,
204,PULSE,135716,24026,29573,,,,,,
205,PULSE,135756,24019,29604,,,,,,
206,PULSE,135796,24006,29605,,,,,,
207,PULSE,135836,23998,29603,,,,,,
208,PULSE,135876,23994,29578,,,,,,
209,PULSE,135916,24005,29591,,,,,,
210,PULSE,135956,24016,29599,,,,,,
211,PULSE,135996,24015,29615,,,,,,
212,PULSE,136038,24018,29615,,,,,,
213,SPEC,5,7,7,1,11,277,1,6,
214,PULSE,136237,24028,29658,,,,,,
215,PULSE,136277,23983,29575,,,,,,
216,PULSE,136317,23969,29492,,,,,,
217,PULSE,136357,23977,29497,,,,,,
218,PULSE,136397,24010,29543,,,,,,
219,PULSE,136439,24009,29586,,,,,,
220,PULSE,136479,24040,29642,,,,,,
221,PULSE,136519,24059,29647,,,,,,
222,PULSE,136559,24041,29640,,,,,,
223,SPEC,5,7,7,1,11,273,1,5,
224,PULSE,136758,24093,29710,,,,,,
225,PULSE,136800,24090,29706,,,,,,
226,PULSE,136840,24059,29737,,,,,,
227,PULSE,136880,24074,29724,,,,,,
228,PULSE,136920,24053,29663,,,,,,
229,PULSE,136960,24061,29602,,,,,,
230,PULSE,137000,24081,29621,,,,,,
231,PULSE,137040,24086,29669,,,,,,
232,PULSE,137080,24108,29711,,,,,,
233,SPEC,5,7,7,1,11,273,1,6,
234,PULSE,137281,24100,29724,,,,,,
235,PULSE,137321,24106,29741,,,,,,
236,PULSE,137361,24113,29757,,,,,,
237,PULSE,137401,24098,29752,,,,,,
238,PULSE,137441,24118,29764,,,,,,
239,PULSE,137481,24129,29770,,,,,,
240,PULSE,137521,24099,29721,,,,,,
241,PULSE,137561,24081,29625,,,,,,
242,PULSE,137601,24067,29608,,,,,,
243,SPEC,5,7,7,1,11,271,1,6,
244,PULSE,137802,24048,29656,,,,,,
245,PULSE,137842,24060,29661,,,,,,
246,PULSE,137882,24071,29658,,,,,,
247,PULSE,137922,24075,29670,,,,,,
248,PULSE,137962,24071,29678,,,,,,
249,PULSE,138002,24063,29696,,,,,,
250,PULSE,138042,24076,29713,,,,,,
251,PULSE,138082,24086,29726,,,,,,
252,PULSE,138122,24066,29687,,,,,,
253,SPEC,5,6,7,1,11,270,1,5,
254,PULSE,138322,24067,29667,,,,,,
255,PULSE,138364,24061,29671,,,,,,
256,PULSE,138404,24030,29679,,,,,,
257,PULSE,138444,24055,29667,,,,,,
258,PULSE,138484,24048,29656,,,,,,
259,PULSE,138524,24054,29679,,,,,,
260,PULSE,138564,24059,29690,,,,,,
261,PULSE,138604,24046,29702,,,,,,
262,PULSE,138644,24063,29708,,,,,,
263,SPEC,5,7,7,1,11,271,1,5,
264,PULSE,138845,24026,29592,,,,,,
265,PULSE,138885,24028,29608,,,,,,
266,PULSE,138925,24027,29636,,,,,,
267,PULSE,138965,24041,29648,,,,,,
268,PULSE,139005,24022,29646,,,,,,
269,PULSE,139045,24036,29637,,,,,,
270,PULSE,139085,24047,29643,,,,,,
271,PULSE,139125,24046,29641,,,,,,
272,PULSE,139165,24034,29649,,,,,,
273,SPEC,5,7,7,1,11,270,1,5,
274,PULSE,139366,24032,29699,,,,,,
275,PULSE,139406,24022,29704,,,,,,
276,PULSE,139446,24012,29591,,,,,,
277,PULSE,139486,24025,29537,,,,,,
278,PULSE,139526,24034,29582,,,,,,
279,PULSE,139566,24024,29611,,,,,,
280,PULSE,139606,24032,29630,,,,,,
281,PULSE,139646,24014,29640,,,,,,
282,PULSE,139686,24030,29624,,,,,,
283,SPEC,5,6,7,1,11,269,1,6,
284,PULSE,139887,24045,29664,,,,,,
285,PULSE,139927,24059,29686,,,,,,
286,PULSE,139967,24057,29696,,,,,,
287,PULSE,140007,24044,29724,,,,,,
288,PULSE,140047,24045,29713,,,,,,
289,PULSE,140087,24031,29678,,,,,,
290,PULSE,140127,24027,29611,,,,,,
291,PULSE,140167,24035,29609,,,,,,
292,PULSE,140207,24049,29660,,,,,,
293,SPEC,5,6,7,1,11,271,1,5,
294,PULSE,140408,24090,29730,,,,,,
295,PULSE,140448,24090,29759,,,,,,
296,PULSE,140488,24093,29770,,,,,,
297,PULSE,140528,24094,29781,,,,,,
298,PULSE,140568,24088,29776,,,,,,
299,PULSE,140608,24084,29786,,,,,,
300,PULSE,140648,24097,29786,,,,,,
301,PULSE,140688,24105,29791,,,,,,
302,PULSE,140728,24090,29785,,,,,,
303,SPEC,5,7,7,1,11,269,1,6,
304,PULSE,140929,24089,29732,,,,,,
305,PULSE,140969,24093,29750,,,,,,
306,PULSE,141009,24092,29761,,,,,,
307,PULSE,141049,24085,29753,,,,,,
308,PULSE,141089,24096,29761,,,,,,
309,PULSE,141129,24102,29770,,,,,,
310,PULSE,141171,24115,29778,,,,,,
311,PULSE,141211,24086,29799,,,,,,
312,PULSE,141251,24110,29810,,,,,,
313,SPEC,5,7,7,1,11,271,1,5,
314,PULSE,141450,24119,29746,,,,,,
315,PULSE,141490,24135,29793,,,,,,
316,PULSE,141530,24129,29809,,,,,,
317,PULSE,141572,24140,29816,,,,,,
318,PULSE,141612,24104,29819,,,,,,
319,PULSE,141652,24125,29814,,,,,,
320,PULSE,141692,24137,29819,,,,,,
321,PULSE,141732,24146,29843,,,,,,
322,PULSE,141772,24153,29857,,,,,,
323,SPEC,5,7,7,1,11,272,1,5,
324,PULSE,141973,24112,29824,,,,,,
325,PULSE,142013,24086,29747,,,,,,
326,PULSE,142053,24101,29742,,,,,,
327,PULSE,142093,24111,29765,,,,,,
328,PULSE,142133,24110,29795,,,,,,
329,PULSE,142173,24109,29796,,,,,,
330,PULSE,142213,24091,29785,,,,,,
331,PULSE,142253,24106,29784,,,,,,
332,PULSE,142293,24122,29768,,,,,,
333,SPEC,5,6,7,1,11,270,1,6,
334,PULSE,142494,24092,29797,,,,,,
335,PULSE,142534,24085,29809,,,,,,
336,PULSE,142574,24069,29708,,,,,,
337,PULSE,142614,24051,29670,,,,,,
