Timestamp,ECG,GSR,Gas,Pulse_IR,Temp_Max,Label
11725,1876,55512,184,98270,36.34,-8.76,-4.01
11762,0,56024,167,98178,35.00,-8.68,-4.06
11784,0,56024,175,98275,35.00,-8.68,-4.09
11806,4095,56024,253,98376,35.00,-8.69,-4.15
11828,4095,56024,216,98480,35.00,-8.68,-4.10
11850,4095,56024,199,98574,35.00,-8.59,-4.02
11872,4095,56024,191,98663,35.00,-8.61,-4.14
11894,4095,56024,197,98759,35.00,-8.63,-4.04
11916,4095,56024,190,98858,35.00,-8.61,-4.10
11938,4095,56024,202,98937,35.00,-8.66,-4.09
11960,4095,56024,213,99030,35.00,-8.72,-4.09
11982,4095,56024,221,99140,35.00,-8.70,-4.09
12023,4095,56024,218,99371,35.00,-8.65,-3.96
12045,4095,56024,211,99461,35.00,-8.67,-4.09
12067,4095,56024,210,99526,35.00,-8.70,-4.13
12089,4095,56024,211,99601,35.00,-8.66,-4.11
12111,4095,56024,203,99681,35.00,-8.51,-4.13
12133,4095,56024,185,99753,35.00,-8.58,-4.08
12155,4095,56024,189,99849,35.00,-8.72,-4.07
12177,4095,56024,201,99917,35.00,-8.68,-4.13
12199,4095,56024,214,99892,35.00,-8.71,-4.11
12221,4095,56024,219,99693,35.00,-8.63,-4.10
12264,4095,56024,233,98700,35.00,-8.59,-4.09
12286,4095,56024,203,98391,35.00,-8.60,-4.06
12308,4095,56024,199,98118,35.00,-8.58,-4.08
12330,0,56792,117,97835,35.00,-8.59,-4.05
12352,0,56792,145,97563,35.00,-8.72,-4.06
12374,0,56792,149,97361,35.00,-8.68,-4.06
12396,0,56792,155,97257,35.00,-8.71,-3.97
12418,0,56792,157,97244,35.00,-8.71,-3.94
12440,0,56024,163,97328,35.00,-8.67,-3.92
12462,0,56792,167,97476,35.00,-8.78,-3.97
12504,819,56792,175,97930,35.00,-8.75,-3.99
12526,0,56792,159,98023,35.00,-8.74,-4.02
12548,0,56024,153,98112,35.00,-8.75,-4.05
