timestamp,ecg,gsr,gas,pulse,temp,acc_x,acc_y
185715,2365,0,158,91055,36.65,-7.42,-4.59
185747,1544,0,149,89790,35.00,-7.41,-4.62
185769,1902,0,138,89852,35.00,-7.41,-4.61
185791,1509,0,135,89885,35.00,-7.37,-4.64
185813,1403,0,135,89949,35.00,-7.42,-4.64
185835,1373,0,137,89995,35.00,-7.40,-4.60
185857,1607,0,151,89981,35.00,-7.41,-4.58
185879,1925,0,158,89937,35.00,-7.42,-4.60
185901,2159,0,167,89956,35.00,-7.40,-4.57
185923,2425,0,169,90043,35.00,-7.41,-4.65
185945,2428,0,163,90139,35.00,-7.37,-4.60
185987,2193,0,151,90481,35.00,-7.39,-4.62
186733,1810,0,137,90578,36.97,-7.42,-4.63
186769,1565,0,143,90344,35.00,-7.39,-4.58
186791,1373,0,127,90412,35.00,-7.39,-4.66
186813,1388,0,133,90413,35.00,-7.37,-4.61
186835,1555,0,141,90398,35.00,-7.40,-4.60
186857,1939,0,155,90390,35.00,-7.38,-4.63
186879,2156,0,169,90298,35.00,-7.42,-4.58
186901,2441,0,167,89944,35.00,-7.39,-4.63
186923,2355,0,160,89361,35.00,-7.42,-4.62
186945,2229,0,152,88792,35.00,-7.42,-4.63
186967,1833,0,136,88408,35.00,-7.35,-4.58
186989,1541,0,125,88272,35.00,-7.38,-4.58
187030,1387,0,136,88698,35.00,-7.40,-4.60
187052,1387,0,134,88923,35.00,-7.39,-4.60
187074,1485,0,139,89130,35.00,-7.40,-4.64
187096,1802,0,149,89330,35.00,-7.41,-4.62
187118,2149,0,165,89507,35.00,-7.41,-4.65
187140,2300,0,165,89608,35.00,-7.38,-4.64
187162,2460,0,165,89637,35.00,-7.42,-4.62
187184,2265,0,155,89689,35.00,-7.36,-4.61
187206,1958,0,143,89727,35.00,-7.39,-4.63
187228,1640,0,139,89790,35.00,-7.39,-4.58
187270,1331,0,125,89545,35.00,-7.46,-4.63
187292,1261,0,131,89262,35.00,-7.41,-4.64
187314,1581,0,141,89058,35.00,-7.43,-4.61
187336,1903,0,152,89010,35.00,-7.41,-4.60
187358,2191,0,167,89071,35.00,-7.37,-4.62
187380,2401,0,165,89196,35.00,-7.43,-4.59
187402,2441,0,159,89327,35.00,-7.36,-4.65
187424,2298,0,153,89465,35.00,-7.37,-4.66
187446,1902,0,137,89624,35.00,-7.38,-4.59
187468,1545,0,125,89757,35.00,-7.41,-4.63
187490,1384,0,132,89855,35.00,-7.40,-4.60
187531,1397,0,139,90118,35.00,-7.37,-4.59
187553,1453,0,141,90197,35.00,-7.37,-4.61
187575,1769,0,152,90265,35.00,-7.40,-4.62
187597,2073,0,168,90316,35.00,-7.39,-4.59
187619,2353,0,167,90364,35.00,-7.40,-4.58
187641,2470,0,165,90479,35.00,-7.37,-4.64
187663,2284,0,157,90617,35.00,-7.39,-4.61
187685,1947,0,145,90728,35.00,-7.40,-4.62
187707,1606,0,135,90765,35.00,-7.40,-4.60
187729,1427,0,127,90774,35.00,-7.37,-4.60
187772,1401,0,135,90375,35.00,-7.42,-4.61
187794,1661,0,147,89877,35.00,-7.40,-4.59
187816,2007,0,159,89525,35.00,-7.40,-4.56
187838,2343,0,169,89362,35.00,-7.39,-4.57
187860,2395,0,165,89408,35.00,-7.35,-4.60
187882,2405,0,157,89534,35.00,-7.43,-4.57
187904,2109,0,146,89631,35.00,-7.43,-4.53
187926,1677,0,124,89649,35.00,-7.37,-4.56
187948,1439,0,124,89595,35.00,-7.41,-4.58
187970,1353,0,123,89571,35.00,-7.39,-4.58
188514,1459,0,141,89808,36.70,-7.41,-4.56
188553,2137,0,165,89943,35.00,-7.40,-4.57
188575,2011,0,159,90084,35.00,-7.38,-4.55
188597,2312,0,164,90317,35.00,-7.40,-4.53
188619,2608,0,167,90562,35.00,-7.41,-4.54
188641,2335,0,155,90728,35.00,-7.41,-4.55
188663,1853,0,139,90857,35.00,-7.41,-4.54
188685,1605,0,133,90945,35.00,-7.39,-4.55
188707,1374,0,133,91009,35.00,-7.36,-4.56
188729,1327,0,135,91018,35.00,-7.38,-4.58
188751,1515,0,143,90975,35.00,-7.39,-4.56
188773,1769,0,151,90949,35.00,-7.43,-4.56
188814,2109,0,165,90973,35.00,-7.36,-4.52
188836,2187,0,165,90972,35.00,-7.42,-4.55
188858,2460,0,168,91022,35.00,-7.40,-4.52
188880,2372,0,157,91086,35.00,-7.39,-4.54
188902,2093,0,143,91121,35.00,-7.38,-4.53
