timestamp,ecg,gsr,gas,pulse,temp,acc_x,acc_y
945752,1919,0,137,0,35.00,-6.23,-6.53
945774,1789,0,157,0,35.00,-6.22,-6.56
945796,2104,0,187,0,35.00,-6.24,-6.53
945818,2707,0,219,0,35.00,-6.24,-6.55
945840,0,0,220,0,35.00,-6.27,-6.57
945862,2523,0,237,0,35.00,-6.26,-6.53
945884,2074,0,175,0,35.00,-6.21,-6.55
945906,675,0,159,0,35.00,-6.21,-6.57
945928,0,0,163,0,35.00,-6.20,-6.62
945950,1148,0,159,0,35.00,-6.25,-6.59
945993,1379,0,157,0,35.00,-6.24,-6.56
946576,3007,0,183,0,34.27,-6.24,-6.57
946614,2693,0,205,0,35.00,-6.22,-6.63
946636,1943,0,181,0,35.00,-6.19,-6.52
946658,2763,0,212,0,35.00,-6.24,-6.57
946680,2878,0,213,0,35.00,-6.29,-6.60
946702,1821,0,188,0,35.00,-6.23,-6.57
946724,1271,0,174,0,35.00,-6.25,-6.55
946746,767,0,149,0,35.00,-6.22,-6.59
946768,979,0,151,0,35.00,-6.20,-6.59
946790,1596,0,157,0,35.00,-6.22,-6.59
946812,2129,0,179,0,35.00,-6.22,-6.50
946855,2835,0,191,0,35.00,-6.23,-6.55
946877,3390,0,213,0,35.00,-6.23,-6.56
946899,3188,0,211,0,35.00,-6.27,-6.58
946921,2394,0,197,0,35.00,-6.25,-6.53
946943,1273,0,157,0,35.00,-6.25,-6.59
946965,682,0,141,0,35.00,-6.19,-6.68
946987,297,0,141,0,35.00,-6.36,-6.63
947591,221,0,155,0,33.90,-6.31,-6.62
947622,3099,0,206,0,35.00,-6.25,-6.53
947644,1208,0,159,0,35.00,-6.25,-6.60
947666,997,0,165,0,35.00,-6.24,-6.55
947688,1447,0,169,0,35.00,-6.27,-6.57
947710,1747,0,173,0,35.00,-6.23,-6.54
947732,2183,0,197,0,35.00,-6.24,-6.59
947754,2284,0,218,0,35.00,-6.23,-6.59
947797,2123,0,199,0,35.00,-6.23,-6.58
947819,1583,0,173,0,35.00,-6.25,-6.56
947841,1201,0,172,0,35.00,-6.24,-6.55
947863,1003,0,159,0,35.00,-6.24,-6.57
947885,1149,0,163,0,35.00,-6.21,-6.56
947907,1555,0,172,0,35.00,-6.27,-6.56
947929,2103,0,187,0,35.00,-6.26,-6.55
947951,2471,0,198,0,35.00,-6.23,-6.49
947973,2467,0,210,0,35.00,-6.22,-6.54
947995,2343,0,189,0,35.00,-6.26,-6.57
948037,2131,0,192,0,35.00,-6.27,-6.58
948059,1755,0,169,0,35.00,-6.22,-6.53
