timestamp,ecg,gsr,gas,pulse,temp,acc_x,acc_y
23530,2173,27312,187,0,35.76,-7.23,-4.93
23569,1845,26800,157,0,35.00,-7.24,-4.94
23591,1787,26800,164,0,35.00,-7.25,-4.98
23613,2056,26800,159,0,35.00,-7.21,-4.90
23635,2297,26800,164,0,35.00,-7.21,-4.96
23657,2150,26800,149,0,35.00,-7.24,-4.95
23679,1786,26800,140,0,35.00,-7.26,-4.93
23701,1433,26800,139,0,35.00,-7.24,-4.96
23723,1229,26416,136,0,35.00,-7.25,-4.95
23745,1197,26416,159,0,35.00,-7.24,-4.93
23767,1463,26416,172,0,35.00,-7.26,-4.94
23789,1767,26416,181,0,35.00,-7.27,-4.96
23830,1675,26416,152,0,35.00,-7.24,-4.92
23852,1277,26416,136,0,35.00,-7.26,-4.96
23874,1045,26416,116,0,35.00,-7.27,-4.94
23896,1630,26416,125,0,35.00,-7.28,-4.94
23918,1843,26416,133,0,35.00,-7.24,-4.93
23940,1611,26416,135,0,35.00,-7.25,-4.91
23962,1699,26416,137,0,35.00,-7.25,-4.93
23984,1581,26416,147,0,35.00,-7.26,-4.94
24551,1589,26416,157,0,35.30,-7.24,-4.95
24592,1904,25136,157,0,35.00,-7.26,-4.94
24614,1461,25136,127,0,35.00,-7.24,-4.91
24636,1443,25136,111,0,35.00,-7.21,-4.91
24658,1641,25136,123,0,35.00,-7.20,-4.90
24680,2027,25136,151,0,35.00,-7.26,-4.98
24702,2318,25136,179,0,35.00,-7.20,-4.98
24724,1959,25136,150,0,35.00,-7.25,-4.94
24746,1645,25136,159,0,35.00,-7.22,-4.93
24768,1449,25136,153,0,35.00,-7.29,-4.96
24790,1261,25136,139,0,35.00,-7.21,-4.93
24832,1139,25904,126,0,35.00,-7.27,-4.93
24854,1593,25136,151,0,35.00,-7.25,-4.92
24876,2199,25136,180,0,35.00,-7.23,-4.98
24898,2671,25136,181,0,35.00,-7.22,-4.95
24920,2075,25136,134,0,35.00,-7.26,-4.92
24942,1837,25136,127,0,35.00,-7.24,-4.93
24964,1639,25136,133,0,35.00,-7.26,-4.95
24986,1043,25136,120,0,35.00,-7.23,-4.92
25571,973,25136,135,0,35.00,-7.24,-4.93
25602,1748,25136,188,0,35.00,-7.25,-4.93
25624,2527,25136,171,0,35.00,-7.22,-4.91
25646,1939,25904,153,0,35.00,-7.27,-4.94
25668,1629,25136,157,0,35.00,-7.26,-4.96
25690,1499,25904,157,0,35.00,-7.24,-4.97
25712,1262,25136,141,0,35.00,-7.24,-4.96
25754,1317,25904,137,0,35.00,-7.27,-4.95
25776,2221,25904,189,0,35.00,-7.25,-4.96
25798,2806,25904,197,0,35.00,-7.25,-4.93
25820,2259,25904,151,0,35.00,-7.28,-4.95
25842,1967,25136,142,0,35.00,-7.25,-4.93
