timestamp,ecg,gsr,gas,pulse,temp,acc_x,acc_y
453554,1635,21840,171,0,35.00,-7.28,-4.86
453576,1589,21840,154,0,35.00,-7.25,-4.83
453598,1945,22352,149,0,35.00,-7.25,-4.85
453620,2137,22352,142,0,35.00,-7.24,-4.89
453642,2059,21840,125,0,35.00,-7.25,-4.89
453683,1763,22352,125,0,35.00,-7.26,-4.87
453705,1237,22352,121,0,35.00,-7.28,-4.85
453727,1494,22352,137,0,35.00,-7.23,-4.86
453749,1649,22352,158,0,35.00,-7.26,-4.81
453771,1559,22352,157,0,35.00,-7.28,-4.86
453793,1420,22352,159,0,35.00,-7.27,-4.85
453815,1738,22352,158,0,35.00,-7.24,-4.87
453837,1918,22352,151,0,35.00,-7.25,-4.84
453859,2042,22352,138,0,35.00,-7.26,-4.86
453881,1679,22352,121,0,35.00,-7.25,-4.87
453924,2031,22352,136,0,35.00,-7.23,-4.86
453946,1553,21840,133,0,35.00,-7.24,-4.83
453968,1617,22352,155,0,35.00,-7.27,-4.85
453990,2043,21840,169,0,35.00,-7.22,-4.86
454409,1789,21840,166,0,35.50,-7.26,-4.84
454445,1646,21072,168,0,35.00,-7.22,-4.89
454467,1749,21072,150,0,35.00,-7.27,-4.87
454489,1515,21072,159,0,35.00,-7.24,-4.87
454511,1523,21072,167,0,35.00,-7.23,-4.87
454533,1687,21072,160,0,35.00,-7.25,-4.90
454555,1778,21072,151,0,35.00,-7.23,-4.88
454577,1748,21840,139,0,35.00,-7.25,-4.85
454599,1967,21840,136,0,35.00,-7.29,-4.84
454621,1884,21840,125,0,35.00,-7.22,-4.89
454643,1893,21840,135,0,35.00,-7.24,-4.88
454686,1663,21840,137,0,35.00,-7.25,-4.83
454708,1511,21072,153,0,35.00,-7.24,-4.88
454730,1609,21072,157,0,35.00,-7.25,-4.85
454752,1945,21072,163,0,35.00,-7.26,-4.86
454774,1763,21072,147,0,35.00,-7.20,-4.87
454796,1723,21840,138,0,35.00,-7.25,-4.84
454818,1427,22352,119,0,35.00,-7.27,-4.81
454840,1389,22352,114,0,35.00,-7.24,-4.85
454862,1510,22352,111,0,35.00,-7.23,-4.87
454884,1782,21840,134,0,35.00,-7.24,-4.87
454926,1688,21840,139,0,35.00,-7.27,-4.85
454948,1277,21072,141,0,35.00,-7.24,-4.87
454970,1059,20560,138,0,35.00,-7.30,-4.86
454992,1179,20368,137,0,35.00,-7.28,-4.87
455430,3448,20368,170,0,35.46,-7.26,-4.88
455467,1080,19088,151,0,35.00,-7.23,-4.86
455489,3547,18576,207,0,35.00,-7.25,-4.89
455511,573,18576,115,0,35.00,-7.23,-4.86
455533,0,18576,140,0,35.00,-7.25,-4.85
455555,2042,18192,179,0,35.00,-7.26,-4.83
455577,1404,18192,123,0,35.00,-7.24,-4.87
455599,947,18192,121,0,35.00,-7.24,-4.83
455621,1981,18192,135,0,35.00,-7.30,-4.83
455643,618,18192,141,0,35.00,-7.22,-4.88
455665,2279,18192,165,0,35.00,-7.25,-4.90
455687,0,18192,143,0,35.00,-7.30,-4.86
455728,3807,18192,222,0,35.00,-7.29,-4.83
455750,3795,18192,211,0,35.00,-7.27,-4.88
455772,1765,18192,143,0,35.00,-7.26,-4.87
455794,2950,18576,167,0,35.00,-7.22,-4.89
455816,2401,18576,153,0,35.00,-7.32,-4.89
455838,2159,18192,141,0,35.00,-7.24,-4.86
455860,1899,18576,137,0,35.00,-7.24,-4.89
455882,1471,18576,137,0,35.00,-7.27,-4.86
455904,2521,18576,167,0,35.00,-7.23,-4.86
455926,1959,18576,169,0,35.00,-7.26,-4.85
455969,1706,18576,175,0,35.00,-7.26,-4.86
455991,1787,18576,173,0,35.00,-7.29,-4.88
456706,2265,18576,174,0,35.71,-7.26,-4.83
456730,1275,19088,168,0,35.00,-7.24,-4.84
456752,1547,19088,159,0,35.00,-7.22,-4.87
456774,1693,19088,141,0,35.00,-7.25,-4.86
456796,1735,19088,141,0,35.00,-7.24,-4.90
456818,1627,19088,132,0,35.00,-7.25,-4.84
456840,1620,19088,139,0,35.00,-7.21,-4.88
456862,1605,19088,151,0,35.00,-7.24,-4.83
456884,1383,19088,153,0,35.00,-7.23,-4.84
456906,1289,19088,164,0,35.00,-7.23,-4.89
456928,1553,19088,175,0,35.00,-7.25,-4.81
456950,1747,19088,167,0,35.00,-7.23,-4.86
456991,1517,19088,149,0,35.00,-7.25,-4.82
457728,1478,19088,142,0,35.18,-7.26,-4.86
457753,1631,18192,157,0,35.00,-7.23,-4.85
457775,1775,18576,127,0,35.00,-7.28,-4.85
457797,1848,18576,133,0,35.00,-7.26,-4.88
457819,1689,18576,139,0,35.00,-7.23,-4.84
457841,1614,18576,150,0,35.00,-7.28,-4.87
457863,1619,18576,163,0,35.00,-7.22,-4.86
457885,1534,18576,168,0,35.00,-7.23,-4.85
457907,1561,18576,171,0,35.00,-7.24,-4.88
457929,1639,18576,160,0,35.00,-7.28,-4.86
457951,1524,18576,151,0,35.00,-7.24,-4.83
457994,1779,18576,141,0,35.00,-7.29,-4.86
458749,1757,18192,126,0,35.12,-7.24,-4.85
458775,1275,19088,139,0,35.00,-7.25,-4.88
458797,1301,19088,132,0,35.00,-7.23,-4.83
458819,1785,19088,151,0,35.00,-7.26,-4.86
458841,1753,19088,155,0,35.00,-7.24,-4.87
458863,1325,19088,157,0,35.00,-7.25,-4.85
458885,1183,19856,165,0,35.00,-7.26,-4.87
458907,1721,19856,173,0,35.00,-7.27,-4.85
