Epoch,Loss,Val_Acc
1,0.6926544070243835,0.4
2,0.6768042743206024,0.4
3,0.6500565558671951,0.4
4,0.6215432941913605,0.7
5,0.5700244441628456,0.7
6,0.49017890393733976,0.7
7,0.36106776893138887,0.85
8,0.26626242846250536,0.95
9,0.2604722037911415,1.0
10,0.17837776187807322,1.0
11,0.16623779870569705,1.0
12,0.12991708535701035,0.95
13,0.1339567819610238,0.95
14,0.1770941982511431,1.0
15,0.14029196542687714,0.9
16,0.12318726649973541,0.95
17,0.1057279685512185,1.0
18,0.16339104641228913,1.0
19,0.10890155888628214,0.95
20,0.07411503258626909,1.0
21,0.07557521220296622,0.95
22,0.09278675381792709,1.0
23,0.08096252694085707,0.95
24,0.08907959846328595,0.95
25,0.06436026530573144,1.0
26,0.07594155077822506,1.0
27,0.06724859469104558,1.0
28,0.08990758379222825,1.0
29,0.1049908501910977,1.0
30,0.1953866858184483,1.0
